Date,week_num,A,B,C,D
25/08/2015,556,0,0,0,0
01/09/2015,557,0,0,0,0
08/09/2015,558,0,0,0,0
15/09/2015,559,0,0,0,0
22/09/2015,560,0,0,0,0
29/09/2015,561,0,0,0,0
06/10/2015,562,0,0,0,0
13/10/2015,563,0,0,0,0
20/10/2015,564,0,0,0,0
27/10/2015,565,0,0,0,0
03/11/2015,566,0,0,0,0
10/11/2015,567,0,0,0,0
17/11/2015,568,0,0,0,0
24/11/2015,569,0,0,0,0
01/12/2015,570,0,0,0,0
08/12/2015,571,0,0,0,0
15/12/2015,572,0,0,0,0
22/12/2015,573,0,0,0,0
29/12/2015,574,0,0,0,0
05/01/2016,575,0,0,0,0
12/01/2016,576,0,0,0,0
19/01/2016,577,0,0,0,0
26/01/2016,578,0,0,0,0
02/02/2016,579,0,0,0,0
09/02/2016,580,0,0,0,0
16/02/2016,581,0,0,0,0
23/02/2016,582,0,0,0,0
01/03/2016,583,0,0,0,0
08/03/2016,584,0,0,0,0
15/03/2016,585,0,0,0,0
22/03/2016,586,0,0,0,0
29/03/2016,587,0,0,0,0
05/04/2016,588,0,0,0,0
12/04/2016,589,0,0,0,0
19/04/2016,590,0,0,0,0
26/04/2016,591,0,0,0,0
03/05/2016,592,0,0,0,0
10/05/2016,593,0,0,0,0
17/05/2016,594,0,0,0,0
24/05/2016,595,0,0,0,0
31/05/2016,596,0,0,0,0
07/06/2016,597,0,0,0,0
14/06/2016,598,0,0,0,0
21/06/2016,599,0,0,0,0
28/06/2016,600,0,0,0,0
05/07/2016,601,0,0,0,0
12/07/2016,602,0,0,0,0
19/07/2016,603,0,0,0,0
26/07/2016,604,0,0,0,0
02/08/2016,605,0,0,0,0
09/08/2016,606,0,0,0,0
16/08/2016,607,0,0,0,0
23/08/2016,608,0,0,0,0
30/08/2016,609,0,0,0,0
06/09/2016,610,0,0,0,0
13/09/2016,611,0,0,0,0
20/09/2016,612,0,0,0,0
27/09/2016,613,0,0,0,0
04/10/2016,614,0,0,0,0
11/10/2016,615,0,0,0,0
18/10/2016,616,0,0,0,0
25/10/2016,617,0,0,0,0
01/11/2016,618,0,0,0,0
08/11/2016,619,0,0,0,0
15/11/2016,620,0,0,0,0
22/11/2016,621,0,0,0,0
29/11/2016,622,0,0,0,0
06/12/2016,623,0,0,0,0
13/12/2016,624,0,0,0,0
20/12/2016,625,0,0,0,0
27/12/2016,626,0,0,0,0
03/01/2017,627,0,0,0,0
10/01/2017,628,0,0,0,0
17/01/2017,629,0,0,0,0
24/01/2017,630,0,0,0,0
31/01/2017,631,0,0,0,0
07/02/2017,632,0,0,0,0
14/02/2017,633,0,0,0,0
21/02/2017,634,0,0,0,0
28/02/2017,635,0,0,0,0
07/03/2017,636,0,0,0,0
14/03/2017,637,0,0,0,0
21/03/2017,638,0,0,0,0
28/03/2017,639,0,0,0,0
04/04/2017,640,0,0,0,0
11/04/2017,641,0,0,0,0
18/04/2017,642,0,0,0,0
25/04/2017,643,0,0,0,0
02/05/2017,644,0,0,0,0
09/05/2017,645,0,0,0,0
16/05/2017,646,0,0,0,0
23/05/2017,647,0,0,0,0
30/05/2017,648,0,0,0,0
06/06/2017,649,0,0,0,0
13/06/2017,650,0,0,0,0
20/06/2017,651,0,0,0,0
27/06/2017,652,0,0,0,0
04/07/2017,653,0,0,0,0
11/07/2017,654,0,0,0,0
18/07/2017,655,0,0,0,0
25/07/2017,656,0,0,0,0
01/08/2017,657,0,0,0,0
08/08/2017,658,0,0,0,0
15/08/2017,659,0,0,0,0
22/08/2017,660,0,0,0,0
29/08/2017,661,0,0,0,0
05/09/2017,662,0,0,0,0
12/09/2017,663,0,0,0,0
19/09/2017,664,0,0,0,0
26/09/2017,665,0,0,0,0
03/10/2017,666,0,0,0,0
10/10/2017,667,0,0,0,0
17/10/2017,668,0,0,0,0
24/10/2017,669,0,0,0,0
31/10/2017,670,0,0,0,0
07/11/2017,671,0,0,0,0
14/11/2017,672,0,0,0,0
21/11/2017,673,0,0,0,0
28/11/2017,674,0,0,0,0
05/12/2017,675,0,0,0,0
12/12/2017,676,0,0,0,0
19/12/2017,677,0,0,0,0
26/12/2017,678,0,0,0,0
02/01/2018,679,0,0,0,0
09/01/2018,680,0,0,0,0
16/01/2018,681,0,0,0,0
23/01/2018,682,0,0,0,0
30/01/2018,683,0,0,0,0
06/02/2018,684,0,0,0,0
13/02/2018,685,0,0,0,0
20/02/2018,686,0,0,0,0
27/02/2018,687,0,0,0,0
06/03/2018,688,0,0,0,0
13/03/2018,689,0,0,0,0
20/03/2018,690,0,0,0,0
27/03/2018,691,0,0,0,0
03/04/2018,692,0,0,0,0
10/04/2018,693,0,0,0,0
17/04/2018,694,0,0,0,0
24/04/2018,695,0,0,0,0
01/05/2018,696,0,0,0,0
08/05/2018,697,0,0,0,0
15/05/2018,698,0,0,0,0
22/05/2018,699,0,0,0,0
29/05/2018,700,0,0,0,0
05/06/2018,701,0,0,0,0
12/06/2018,702,0,0,0,0
19/06/2018,703,0,0,0,0
26/06/2018,704,0,0,0,0
03/07/2018,705,0,0,0,0
10/07/2018,706,0,0,0,0
17/07/2018,707,0,0,0,0
24/07/2018,708,0,0,0,0
31/07/2018,709,0,0,0,0
07/08/2018,710,0,0,0,0
14/08/2018,711,0,0,0,0
21/08/2018,712,0,0,0,0
28/08/2018,713,0,0,0,0
04/09/2018,714,0,0,0,0
11/09/2018,715,0,0,0,0
18/09/2018,716,0,0,0,0
25/09/2018,717,0,0,0,0
02/10/2018,718,0,0,0,0
09/10/2018,719,0,0,0,0
16/10/2018,720,0,0,0,0
23/10/2018,721,0,0,0,0
30/10/2018,722,0,0,0,0
06/11/2018,723,0,0,0,0
13/11/2018,724,0,0,0,0
20/11/2018,725,0,0,0,0
27/11/2018,726,0,0,0,0
04/12/2018,727,0,0,0,0
11/12/2018,728,0,0,0,0
18/12/2018,729,0,0,0,0
25/12/2018,730,0,0,0,0
01/01/2019,731,0,0,0,0
08/01/2019,732,0,0,0,0
15/01/2019,733,0,0,0,0
22/01/2019,734,0,0,0,0
29/01/2019,735,0,0,0,0
05/02/2019,736,0,0,0,0
12/02/2019,737,0,0,0,0
19/02/2019,738,0,0,0,0
26/02/2019,739,0,0,0,0
05/03/2019,740,0,0,1,0
12/03/2019,741,0,0,0,0
19/03/2019,742,0,1,0,0
26/03/2019,743,0,0,0,0
02/04/2019,744,0,0,0,0
09/04/2019,745,0,0,0,0
16/04/2019,746,0,0,0,0
23/04/2019,747,0,0,0,0
30/04/2019,748,0,0,0,0
07/05/2019,749,0,0,0,0
14/05/2019,750,0,0,0,0
21/05/2019,751,0,0,0,0
28/05/2019,752,0,0,0,0
04/06/2019,753,0,0,0,0
11/06/2019,754,0,0,0,0
18/06/2019,755,0,0,0,0
25/06/2019,756,0,0,0,0
02/07/2019,757,0,0,0,0
09/07/2019,758,0,0,0,0
16/07/2019,759,0,0,0,0
23/07/2019,760,0,0,0,0
