Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV190_plate03|2018.58082191781,SBV190,3,8,SBV190_plate03|2018.58082191781,C,H,,,,,,,,SBV190
SBV191_plate03|2018.58356164384,SBV191,3,8,SBV191_plate03|2018.58356164384,C,H,,,,,,,,SBV191
SBV192_plate03|2018.64657534247,SBV192,2,5,SBV192_plate03|2018.64657534247,B,E,,,,,,,,SBV192
SBV193_plate03|2018.67397260274,SBV193,3,8,SBV193_plate03|2018.67397260274,C,H,,,,,,,,SBV193
SBV194_plate03|2018.67945205479,SBV194,3,8,SBV194_plate03|2018.67945205479,C,H,,,,,,,,SBV194
SBV195_plate03|2018.71780821918,SBV195,3,8,SBV195_plate03|2018.71780821918,C,H,,,,,,,,SBV195
SBV196_plate03|2018.74794520548,SBV196,2,4,SBV196_plate03|2018.74794520548,B,D,,,,,,,,SBV196
SBV197_plate03|2018.79452054795,SBV197,3,8,SBV197_plate03|2018.79452054795,C,H,,,,,,,,SBV197
SBV198_plate03|2018.84383561644,SBV198,3,8,SBV198_plate03|2018.84383561644,C,H,,,,,,,,SBV198
SBV199_plate03|2018.8904109589,SBV199,3,8,SBV199_plate03|2018.8904109589,C,H,,,,,,,,SBV199
SBV200_plate03|2018.90410958904,SBV200,2,4,SBV200_plate03|2018.90410958904,B,D,,,,,,,,SBV200
SBV201_plate03|2018.92054794521,SBV201,3,8,SBV201_plate03|2018.92054794521,C,H,,,,,,,,SBV201
SBV202_plate03|2018.95068493151,SBV202,3,8,SBV202_plate03|2018.95068493151,C,H,,,,,,,,SBV202
SBV203_plate03|2018.96438356164,SBV203,3,8,SBV203_plate03|2018.96438356164,C,H,,,,,,,,SBV203
SBV204_plate03|2019.42739726027,SBV204,3,8,SBV204_plate03|2019.42739726027,C,H,,,,,,,,SBV204
SBV205_plate03|2018.99452054795,SBV205,2,5,SBV205_plate03|2018.99452054795,B,E,,,,,,,,SBV205
SBV206_plate03|2019.01643835616,SBV206,3,8,SBV206_plate03|2019.01643835616,C,H,,,,,,,,SBV206
SBV207_plate03|2019.0301369863,SBV207,3,8,SBV207_plate03|2019.0301369863,C,H,,,,,,,,SBV207
SBV208_plate03|2019.04657534247,SBV208,2,7,SBV208_plate03|2019.04657534247,B,G,,,,,,,,SBV208
SBV209_plate03|2019.05205479452,SBV209,3,8,SBV209_plate03|2019.05205479452,C,H,,,,,,,,SBV209
SBV210_plate03|2019.08493150685,SBV210,2,5,SBV210_plate03|2019.08493150685,B,E,,,,,,,,SBV210
SBV211_plate03|2019.21095890411,SBV211,3,8,SBV211_plate03|2019.21095890411,C,H,,,,,,,,SBV211
SBV212_plate03|2019.24931506849,SBV212,2,5,SBV212_plate03|2019.24931506849,B,E,,,,,,,,SBV212
SBV213_plate03|2019.27945205479,SBV213,3,8,SBV213_plate03|2019.27945205479,C,H,,,,,,,,SBV213
SBV214_plate03|2019.44383561644,SBV214,3,8,SBV214_plate03|2019.44383561644,C,H,,,,,,,,SBV214
SBV216_plate03|2019.00821917808,SBV216,2,4,SBV216_plate03|2019.00821917808,B,D,,,,,,,,SBV216
SBV217_plate03|2019.07945205479,SBV217,3,8,SBV217_plate03|2019.07945205479,C,H,,,,,,,,SBV217
SBV218_plate05|2019.09315068493,SBV218,2,5,SBV218_plate05|2019.09315068493,B,E,,,,,,,,SBV218
